city,ibge_id,date,qty_cases,qty_new_cases,cumm_qty_new_cases_14d,category
BOA VISTA,1400100,2020-03-28,14,4,14,real
BOA VISTA,2502151,2020-03-28,14,4,14,real
BOA VISTA,1400100,2020-03-29,14,0,14,real
BOA VISTA,2502151,2020-03-29,14,0,14,real
BOA VISTA,1400100,2020-03-30,14,0,14,real
BOA VISTA,2502151,2020-03-30,14,0,14,real
BOA VISTA,1400100,2020-03-31,20,6,20,real
BOA VISTA,2502151,2020-03-31,20,6,20,real
BOA VISTA,1400100,2020-04-01,19,-1,19,real
BOA VISTA,2502151,2020-04-01,19,-1,19,real
BOA VISTA,1400100,2020-04-02,24,5,24,real
BOA VISTA,2502151,2020-04-02,24,5,24,real
BOA VISTA,1400100,2020-04-03,31,7,31,real
BOA VISTA,2502151,2020-04-03,31,7,31,real
BOA VISTA,1400100,2020-04-04,36,5,34,real
BOA VISTA,2502151,2020-04-04,36,5,34,real
BOA VISTA,1400100,2020-04-05,36,0,34,real
BOA VISTA,2502151,2020-04-05,36,0,34,real
BOA VISTA,1400100,2020-04-06,36,0,34,real
BOA VISTA,2502151,2020-04-06,36,0,34,real
BOA VISTA,1400100,2020-04-07,42,6,34,real
BOA VISTA,2502151,2020-04-07,42,6,34,real
BOA VISTA,1400100,2020-04-08,45,3,37,real
BOA VISTA,2502151,2020-04-08,45,3,37,real
BOA VISTA,1400100,2020-04-09,56,11,46,real
BOA VISTA,2502151,2020-04-09,56,11,46,real
BOA VISTA,1400100,2020-04-10,68,12,58,real
BOA VISTA,2502151,2020-04-10,68,12,58,real
BOA VISTA,1400100,2020-04-11,70,2,56,real
BOA VISTA,2502151,2020-04-11,70,2,56,real
BOA VISTA,1400100,2020-04-12,74,4,60,real
BOA VISTA,2502151,2020-04-12,74,4,60,real
BOA VISTA,1400100,2020-04-13,104,30,90,real
BOA VISTA,2502151,2020-04-13,104,30,90,real
BOA VISTA,1400100,2020-04-14,105,1,85,real
BOA VISTA,2502151,2020-04-14,105,1,85,real
BOA VISTA,1400100,2020-04-15,131,26,112,real
BOA VISTA,2502151,2020-04-15,131,26,112,real
BOA VISTA,1400100,2020-04-16,147,16,123,real
BOA VISTA,2502151,2020-04-16,147,16,123,real
BOA VISTA,1400100,2020-04-17,183,36,152,real
BOA VISTA,2502151,2020-04-17,183,36,152,real
BOA VISTA,1400100,2020-04-18,200,17,164,real
BOA VISTA,2502151,2020-04-18,200,17,164,real
BOA VISTA,1400100,2020-04-19,222,22,186,real
BOA VISTA,2502151,2020-04-19,222,22,186,real
BOA VISTA,1400100,2020-04-20,365,143,329,prediction
BOA VISTA,2502151,2020-04-20,365,143,329,prediction
BOA VISTA,1400100,2020-04-21,365,0,323,prediction
BOA VISTA,2502151,2020-04-21,365,0,323,prediction
BOA VISTA,1400100,2020-04-22,365,0,320,prediction
BOA VISTA,2502151,2020-04-22,365,0,320,prediction
BOA VISTA,1400100,2020-04-23,365,0,309,prediction
BOA VISTA,2502151,2020-04-23,365,0,309,prediction
BOA VISTA,1400100,2020-04-24,365,0,297,prediction
